original,Date,Open,High,Low,Close,Adj Close,Volume
20190724,2019-07-24,35.4,35.4,34.2,34.45,33.3145,1886280
20190725,2019-07-25,34.3,35.2,34.3,35.2,34.0397,1316210
20190726,2019-07-26,35,35.9,35,35.8,34.62,2184360
20190729,2019-07-29,35.7,35.8,35.3,35.8,34.62,1351320
20190730,2019-07-30,35.6,35.6,34.95,35,33.8463,1623110
20190731,2019-07-31,35,35.5,34.7,35.5,34.3298,933640
20190801,2019-08-01,35.5,35.5,35.05,35.45,34.2815,744670
20190802,2019-08-02,35,36,34.9,35.8,34.62,1824090
20190805,2019-08-05,35.5,35.8,35.45,35.8,34.62,1969000
20190806,2019-08-06,34.5,35.65,34.5,35.2,34.0397,1229640
20190807,2019-08-07,35.35,35.5,34.7,34.7,33.5562,1081380
20190808,2019-08-08,34.7,35.15,34.65,34.7,33.5562,908980
20190809,2019-08-09,35,35,34.2,34.7,33.5562,997910
20190812,2019-08-12,34.85,35.4,34.05,35.35,34.1848,1373320
20190813,2019-08-13,35.05,35.4,34.75,34.9,33.7496,817060
20190814,2019-08-14,35.3,35.4,34.75,35.1,33.943,520650
20190815,2019-08-15,34.5,35.1,34.5,35.1,33.943,551130
20190816,2019-08-16,35,36.7,34.9,36,34.8134,3237040
20190819,2019-08-19,36.5,37,36.3,36.7,35.4903,1132960
20190820,2019-08-20,36.95,36.95,36.55,36.8,35.587,800200
20190821,2019-08-21,36.5,38.25,36.5,37.85,36.6024,2691400
20190822,2019-08-22,38,38.1,37.5,37.6,36.3606,1618940
20190823,2019-08-23,37.8,37.8,37.15,37.55,36.3123,977030
20190826,2019-08-26,36.9,37.85,36.6,37.85,36.6024,1806980
20190827,2019-08-27,38.3,38.4,37.5,37.5,36.2639,1170790
20190828,2019-08-28,37.5,38,37.4,37.6,36.3606,932680
20190829,2019-08-29,37.6,37.9,37.35,37.9,36.6507,1330160
20190830,2019-08-30,38.2,38.8,37.95,38.75,37.4727,2186980
20190903,2019-09-03,38.8,39.1,38.65,38.7,37.4244,830420
20190904,2019-09-04,38.7,38.8,38,38.6,37.3277,921560
20190905,2019-09-05,38.8,39.05,38.5,38.5,37.231,939140
20190906,2019-09-06,38.5,38.5,37.55,38,36.7474,1528000
20190909,2019-09-09,38,38.1,37.75,38.1,36.8441,801830
20190910,2019-09-10,37.95,38.6,37.8,38.3,37.0376,1003930
20190911,2019-09-11,38,38.4,37.95,38.2,36.9408,519270
20190912,2019-09-12,38.35,38.75,38,38.65,37.376,1763420
20190913,2019-09-13,38.85,39.85,38.6,39.85,38.5365,2303060
20190916,2019-09-16,39.85,40.8,39.8,40,38.6815,1250810
